variant,anomaly_type,method,customer,date,score,score_pct,rank
log1p,multivariate_dependency,catch,ALL,2024-04-11,3.6645984649658203,1.0,1
log1p,multivariate_dependency,catch,ALL,2024-04-15,3.6440699100494385,0.9982638888888888,2
log1p,multivariate_dependency,catch,ALL,2024-05-18,3.6273269653320312,0.9965277777777778,3
log1p,multivariate_dependency,catch,ALL,2024-04-23,3.611079692840576,0.9947916666666666,4
log1p,multivariate_dependency,catch,ALL,2024-05-16,3.581012725830078,0.9930555555555556,5
log1p,multivariate_dependency,catch,ALL,2024-04-25,3.5095131397247314,0.9913194444444444,6
log1p,multivariate_dependency,catch,ALL,2023-11-23,3.5011677742004395,0.9895833333333334,7
log1p,multivariate_dependency,catch,ALL,2024-04-22,3.3402533531188965,0.9878472222222222,8
log1p,multivariate_dependency,catch,ALL,2023-04-03,3.3165743350982666,0.9861111111111112,9
log1p,multivariate_dependency,catch,ALL,2024-03-28,3.2543632984161377,0.984375,10
log1p,multivariate_dependency,catch,ALL,2024-05-15,2.980736494064331,0.9826388888888888,11
log1p,multivariate_dependency,catch,ALL,2024-03-29,2.9781970977783203,0.9809027777777778,12
log1p,multivariate_dependency,catch,ALL,2024-05-22,2.9709837436676025,0.9791666666666666,13
log1p,multivariate_dependency,catch,ALL,2024-05-05,2.9486730098724365,0.9774305555555556,14
log1p,multivariate_dependency,catch,ALL,2024-05-19,2.934480667114258,0.9756944444444444,15
log1p,multivariate_dependency,catch,ALL,2024-05-25,2.826392650604248,0.9739583333333334,16
log1p,multivariate_dependency,catch,ALL,2024-05-04,2.81002140045166,0.9722222222222222,17
log1p,multivariate_dependency,catch,ALL,2024-04-07,2.767643451690674,0.9704861111111112,18
log1p,multivariate_dependency,catch,ALL,2024-04-27,2.7275338172912598,0.96875,19
log1p,multivariate_dependency,catch,ALL,2024-04-28,2.7201485633850098,0.9670138888888888,20
log1p,multivariate_dependency,catch,ALL,2024-04-02,2.6959228515625,0.9652777777777778,21
log1p,multivariate_dependency,catch,ALL,2024-04-20,2.6921489238739014,0.9635416666666666,22
log1p,multivariate_dependency,catch,ALL,2024-03-24,2.668534755706787,0.9618055555555556,23
log1p,multivariate_dependency,catch,ALL,2024-03-03,2.611912488937378,0.9600694444444444,24
log1p,multivariate_dependency,catch,ALL,2024-04-21,2.583875894546509,0.9583333333333334,25
